"Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
"3","11NQ24","American White Pelican","","","","1",5.56,1.3889,1,"#FFFF00","#FFFF00"
"25","10DC28","American White Pelican","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"25","10DC38","American White Pelican","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"25","10DC99","American White Pelican","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"26","10EC53","American White Pelican","","","","1",9.09,0.0909,1,"#FFFF00","#FFFF00"
"31","10CD98","American White Pelican","","","","1",6.67,0.1333,1,"#FFFF00","#FFFF00"
"31","10DD46","American White Pelican","","","","1",1.89,0.1132,1,"#FFFF00","#FFFF00"
"31","10DE17","American White Pelican","","","","1",6.25,0.375,1,"#FFFF00","#FFFF00"
"31","10DE27","American White Pelican","","","","1",6.67,0.0667,1,"#FFFF00","#FFFF00"
"3","11NQ24","American White Pelican","","","","1",5.56,1.3889,1,"#FFFF00","#FFFF00"
"25","10DC28","American White Pelican","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"25","10DC38","American White Pelican","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"25","10DC99","American White Pelican","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"26","10EC53","American White Pelican","","","","1",9.09,0.0909,1,"#FFFF00","#FFFF00"
"31","10CD98","American White Pelican","","","","1",6.67,0.1333,1,"#FFFF00","#FFFF00"
"31","10DD46","American White Pelican","","","","1",1.89,0.1132,1,"#FFFF00","#FFFF00"
"31","10DE17","American White Pelican","","","","1",6.25,0.375,1,"#FFFF00","#FFFF00"
"31","10DE27","American White Pelican","","","","1",6.67,0.0667,1,"#FFFF00","#FFFF00"
"3","11NQ24","American White Pelican","","","","1",5.56,1.3889,1,"#FFFF00","#FFFF00"
"25","10DC28","American White Pelican","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"25","10DC38","American White Pelican","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"25","10DC99","American White Pelican","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"26","10EC53","American White Pelican","","","","1",9.09,0.0909,1,"#FFFF00","#FFFF00"
"31","10CD98","American White Pelican","","","","1",6.67,0.1333,1,"#FFFF00","#FFFF00"
"31","10DD46","American White Pelican","","","","1",1.89,0.1132,1,"#FFFF00","#FFFF00"
"31","10DE17","American White Pelican","","","","1",6.25,0.375,1,"#FFFF00","#FFFF00"
"31","10DE27","American White Pelican","","","","1",6.67,0.0667,1,"#FFFF00","#FFFF00"
"3","11NQ24","American White Pelican","","","","1",5.56,1.3889,1,"#FFFF00","#FFFF00"
"25","10DC28","American White Pelican","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"25","10DC38","American White Pelican","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"25","10DC99","American White Pelican","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"26","10EC53","American White Pelican","","","","1",9.09,0.0909,1,"#FFFF00","#FFFF00"
"31","10CD98","American White Pelican","","","","1",6.67,0.1333,1,"#FFFF00","#FFFF00"
"31","10DD46","American White Pelican","","","","1",1.89,0.1132,1,"#FFFF00","#FFFF00"
"31","10DE17","American White Pelican","","","","1",6.25,0.375,1,"#FFFF00","#FFFF00"
"31","10DE27","American White Pelican","","","","1",6.67,0.0667,1,"#FFFF00","#FFFF00"
"3","11NQ24","American White Pelican","","","","1",5.56,1.3889,1,"#FFFF00","#FFFF00"
"25","10DC28","American White Pelican","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"25","10DC38","American White Pelican","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"25","10DC99","American White Pelican","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"26","10EC53","American White Pelican","","","","1",9.09,0.0909,1,"#FFFF00","#FFFF00"
"31","10CD98","American White Pelican","","","","1",6.67,0.1333,1,"#FFFF00","#FFFF00"
"31","10DD46","American White Pelican","","","","1",1.89,0.1132,1,"#FFFF00","#FFFF00"
"31","10DE17","American White Pelican","","","","1",6.25,0.375,1,"#FFFF00","#FFFF00"
"31","10DE27","American White Pelican","","","","1",6.67,0.0667,1,"#FFFF00","#FFFF00"
"3","11NQ24","American White Pelican","","","","1",5.56,1.3889,1,"#FFFF00","#FFFF00"
"25","10DC28","American White Pelican","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"25","10DC38","American White Pelican","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"25","10DC99","American White Pelican","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"26","10EC53","American White Pelican","","","","1",9.09,0.0909,1,"#FFFF00","#FFFF00"
"31","10CD98","American White Pelican","","","","1",6.67,0.1333,1,"#FFFF00","#FFFF00"
"31","10DD46","American White Pelican","","","","1",1.89,0.1132,1,"#FFFF00","#FFFF00"
"31","10DE17","American White Pelican","","","","1",6.25,0.375,1,"#FFFF00","#FFFF00"
"31","10DE27","American White Pelican","","","","1",6.67,0.0667,1,"#FFFF00","#FFFF00"
"3","11NQ24","American White Pelican","","","","1",5.56,1.3889,1,"#FFFF00","#FFFF00"
"25","10DC28","American White Pelican","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"25","10DC38","American White Pelican","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"25","10DC99","American White Pelican","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"26","10EC53","American White Pelican","","","","1",9.09,0.0909,1,"#FFFF00","#FFFF00"
"31","10CD98","American White Pelican","","","","1",6.67,0.1333,1,"#FFFF00","#FFFF00"
"31","10DD46","American White Pelican","","","","1",1.89,0.1132,1,"#FFFF00","#FFFF00"
"31","10DE17","American White Pelican","","","","1",6.25,0.375,1,"#FFFF00","#FFFF00"
"31","10DE27","American White Pelican","","","","1",6.67,0.0667,1,"#FFFF00","#FFFF00"
"3","11NQ24","American White Pelican","","","","1",5.56,1.3889,1,"#FFFF00","#FFFF00"
"25","10DC28","American White Pelican","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"25","10DC38","American White Pelican","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"25","10DC99","American White Pelican","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"26","10EC53","American White Pelican","","","","1",9.09,0.0909,1,"#FFFF00","#FFFF00"
"31","10CD98","American White Pelican","","","","1",6.67,0.1333,1,"#FFFF00","#FFFF00"
"31","10DD46","American White Pelican","","","","1",1.89,0.1132,1,"#FFFF00","#FFFF00"
"31","10DE17","American White Pelican","","","","1",6.25,0.375,1,"#FFFF00","#FFFF00"
"31","10DE27","American White Pelican","","","","1",6.67,0.0667,1,"#FFFF00","#FFFF00"
"3","11NQ24","American White Pelican","","","","1",5.56,1.3889,1,"#FFFF00","#FFFF00"
"25","10DC28","American White Pelican","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"25","10DC38","American White Pelican","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"25","10DC99","American White Pelican","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
